Unnamed: 0,Title,Rank,Type,Episodes,Aired,Members,page_url,image_url,Score
0,Net-juu no Susume,1568,TV,10,Oct 2017 - Dec 2017,450968,https://myanimelist.net/anime/36038/Net-juu_no_Susume,https://myanimelist.net/anime/36038/Net-juu_no_Susume/pics,7.55
1,Neon Genesis Evangelion: The End of Evangelion,99,Movie,1,Jul 1997 - Jul 1997,883576,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion/pics,8.55
2,Templex,11445,Movie,1,2015 - 2015,538,https://myanimelist.net/anime/40721/Templex,https://myanimelist.net/anime/40721/Templex/pics,5.29
3,s.CRY.ed,2248,TV,26,Jul 2001 - Dec 2001,81283,https://myanimelist.net/anime/168/sCRYed,https://myanimelist.net/anime/168/sCRYed/pics,7.36
4,Toaru Majutsu no Index-tan III,6679,Special,2,Dec 2018 - Apr 2019,11370,https://myanimelist.net/anime/39094/Toaru_Majutsu_no_Index-tan_III,https://myanimelist.net/anime/39094/Toaru_Majutsu_no_Index-tan_III/pics,6.44
5,Hana to Mogura,10991,Movie,1,1970 - 1970,595,https://myanimelist.net/anime/13089/Hana_to_Mogura,https://myanimelist.net/anime/13089/Hana_to_Mogura/pics,5.45
6,Drifters (OVA): Kokuou-sama Goranshin,7084,Special,1,Dec 2017 - Dec 2017,7242,https://myanimelist.net/anime/37046/Drifters_OVA__Kokuou-sama_Goranshin,https://myanimelist.net/anime/37046/Drifters_OVA__Kokuou-sama_Goranshin/pics,6.37
7,Himitsukessha Taka no Tsume,8653,TV,11,Apr 2006 - Jun 2006,1216,https://myanimelist.net/anime/4737/Himitsukessha_Taka_no_Tsume,https://myanimelist.net/anime/4737/Himitsukessha_Taka_no_Tsume/pics,6.05
8,Nyanpire The Animation,5629,TV,12,Jul 2011 - Sep 2011,27709,https://myanimelist.net/anime/10197/Nyanpire_The_Animation,https://myanimelist.net/anime/10197/Nyanpire_The_Animation/pics,6.65
9,.hack//Intermezzo,6284,Special,1,Mar 2003 - Mar 2003,23083,https://myanimelist.net/anime/1143/hack__Intermezzo,https://myanimelist.net/anime/1143/hack__Intermezzo/pics,6.52
10,Banana Fish,133,TV,24,Jul 2018 - Dec 2018,814329,https://myanimelist.net/anime/36649/Banana_Fish,https://myanimelist.net/anime/36649/Banana_Fish/pics,8.48
11,Persona 4 the Animation,1729,TV,25,Oct 2011 - Mar 2012,257383,https://myanimelist.net/anime/10588/Persona_4_the_Animation,https://myanimelist.net/anime/10588/Persona_4_the_Animation/pics,7.5
12,Jirijiri Moyou no Ryuuryuu Tenten,10898,ONA,1,Jul 2012 - Jul 2012,367,https://myanimelist.net/anime/37546/Jirijiri_Moyou_no_Ryuuryuu_Tenten,https://myanimelist.net/anime/37546/Jirijiri_Moyou_no_Ryuuryuu_Tenten/pics,5.48
13,Romantic Killer,524,ONA,12,Oct 2022 - Oct 2022,159661,https://myanimelist.net/anime/52865/Romantic_Killer,https://myanimelist.net/anime/52865/Romantic_Killer/pics,8.06
14,Himote House,10273,TV,12,Oct 2018 - Dec 2018,17255,https://myanimelist.net/anime/36945/Himote_House,https://myanimelist.net/anime/36945/Himote_House/pics,5.66
15,Precure All Stars Movie New Stage: Mirai no Tomodachi,3309,Movie,1,Mar 2012 - Mar 2012,5626,https://myanimelist.net/anime/12221/Precure_All_Stars_Movie_New_Stage__Mirai_no_Tomodachi,https://myanimelist.net/anime/12221/Precure_All_Stars_Movie_New_Stage__Mirai_no_Tomodachi/pics,7.15
16,Super Bikkuriman,6982,TV,44,May 1992 - Apr 1993,640,https://myanimelist.net/anime/6583/Super_Bikkuriman,https://myanimelist.net/anime/6583/Super_Bikkuriman/pics,6.39
17,Katarina Nounai Kaigi X,10468,ONA,23,Jun 2021 - Sep 2021,4645,https://myanimelist.net/anime/49501/Katarina_Nounai_Kaigi_X,https://myanimelist.net/anime/49501/Katarina_Nounai_Kaigi_X/pics,5.61
18,Ring ni Kakero 1: Sekai Taikai-hen,6814,TV,6,Apr 2011 - Jun 2011,1501,https://myanimelist.net/anime/10346/Ring_ni_Kakero_1__Sekai_Taikai-hen,https://myanimelist.net/anime/10346/Ring_ni_Kakero_1__Sekai_Taikai-hen/pics,6.42
19,Kageyama Tamio no Double Fantasy,9139,Special,1,Jan 1994 - Jan 1994,590,https://myanimelist.net/anime/41325/Kageyama_Tamio_no_Double_Fantasy,https://myanimelist.net/anime/41325/Kageyama_Tamio_no_Double_Fantasy/pics,5.94
20,Keijo!!!!!!!!,4285,TV,12,Oct 2016 - Dec 2016,389224,https://myanimelist.net/anime/32686/Keijo,https://myanimelist.net/anime/32686/Keijo/pics,6.93
21,Hi☆sCoool! SeHa Girls,6498,TV,13,Oct 2014 - Dec 2014,11685,https://myanimelist.net/anime/23787/Hi☆sCoool_SeHa_Girls,https://myanimelist.net/anime/23787/Hi☆sCoool_SeHa_Girls/pics,6.48
22,Kyuuketsuhime Miyu (TV),3271,TV,26,Oct 1997 - Mar 1998,38764,https://myanimelist.net/anime/690/Kyuuketsuhime_Miyu_TV,https://myanimelist.net/anime/690/Kyuuketsuhime_Miyu_TV/pics,7.16
23,Landscape,12441,Movie,1,2004 - 2004,452,https://myanimelist.net/anime/30814/Landscape,https://myanimelist.net/anime/30814/Landscape/pics,4.65
24,Toaru Majutsu no Index,2257,TV,24,Oct 2008 - Mar 2009,791235,https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index,https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index/pics,7.36
25,Puparia,1347,ONA,1,Nov 2020 - Nov 2020,45456,https://myanimelist.net/anime/44059/Puparia,https://myanimelist.net/anime/44059/Puparia/pics,7.62
26,Kobato.,651,TV,24,Oct 2009 - Mar 2010,163055,https://myanimelist.net/anime/5678/Kobato,https://myanimelist.net/anime/5678/Kobato/pics,7.95
27,DD Hokuto no Ken,8643,TV,12,Jan 2011 - Apr 2011,4963,https://myanimelist.net/anime/10177/DD_Hokuto_no_Ken,https://myanimelist.net/anime/10177/DD_Hokuto_no_Ken/pics,6.05
28,Princess Connect! Re:Dive,3793,TV,13,Apr 2020 - Jun 2020,272807,https://myanimelist.net/anime/39292/Princess_Connect_Re_Dive,https://myanimelist.net/anime/39292/Princess_Connect_Re_Dive/pics,7.05
29,Miyako,9223,ONA,1,Sep 2012 - Sep 2012,519,https://myanimelist.net/anime/37530/Miyako,https://myanimelist.net/anime/37530/Miyako/pics,5.92
30,Bungou to Alchemist: Shinpan no Haguruma,6474,TV,13,Apr 2020 - Aug 2020,50498,https://myanimelist.net/anime/40934/Bungou_to_Alchemist__Shinpan_no_Haguruma,https://myanimelist.net/anime/40934/Bungou_to_Alchemist__Shinpan_no_Haguruma/pics,6.49
31,Kiddy GiRL-AND Pilot,5717,OVA,1,May 2007 - May 2007,4848,https://myanimelist.net/anime/5859/Kiddy_GiRL-AND_Pilot,https://myanimelist.net/anime/5859/Kiddy_GiRL-AND_Pilot/pics,6.63
32,Hendo Garden,12013,Special,1,Jun 2015 - Jun 2015,266,https://myanimelist.net/anime/36675/Hendo_Garden,https://myanimelist.net/anime/36675/Hendo_Garden/pics,5.01
33,Diabolik Lovers OVA,10089,OVA,1,Feb 2015 - Feb 2015,38683,https://myanimelist.net/anime/27417/Diabolik_Lovers_OVA,https://myanimelist.net/anime/27417/Diabolik_Lovers_OVA/pics,5.71
